,0
0,18.4
1,15.0
2,10.9
3,11.4
4,14.8
5,12.1
6,12.8
7,16.2
8,15.5
9,13.0
10,10.5
11,9.1
12,10.5
13,11.8
14,12.7
15,12.7
16,11.5
17,13.8
18,13.3
19,11.6
20,15.4
21,12.4
22,16.9
23,14.7
24,10.6
25,15.6
26,10.7
27,12.6
28,13.8
29,14.3
30,14.0
31,18.1
32,17.3
33,13.0
34,16.0
35,14.9
36,16.2
37,20.3
38,22.5
39,17.2
40,15.9
41,16.8
42,13.8
43,12.8
44,14.0
45,17.5
46,21.5
47,16.8
48,13.6
49,14.5
50,14.2
51,15.7
52,19.7
53,17.4
54,14.4
55,16.9
56,19.1
57,20.4
58,20.1
59,19.9
60,22.0
61,20.5
62,22.1
63,20.6
64,15.0
65,20.6
66,21.5
67,16.2
68,14.1
69,14.5
70,21.1
71,15.9
72,15.2
73,13.1
74,13.2
75,12.5
76,15.2
77,17.6
78,15.5
79,16.7
80,16.3
81,15.1
82,12.7
83,10.0
84,11.4
85,12.6
86,10.7
87,10.0
88,13.9
89,13.4
90,12.5
91,12.8
92,7.8
93,11.1
94,10.7
95,7.1
96,6.7
97,5.7
98,9.1
99,15.2
100,15.5
101,11.1
102,11.7
103,11.5
104,9.8
105,6.2
106,6.7
107,7.5
108,8.8
109,8.0
110,10.4
111,14.5
112,16.5
113,14.1
114,10.5
115,12.6
116,13.0
117,8.7
118,10.1
119,12.0
120,12.5
121,13.5
122,13.7
123,13.5
124,10.7
125,13.0
126,11.6
127,13.0
128,11.2
129,13.5
130,12.9
131,6.8
132,10.0
133,14.5
134,11.7
135,6.7
136,4.6
137,4.9
138,7.4
139,8.3
140,7.5
141,6.2
142,7.8
143,13.2
144,11.9
145,6.5
146,8.3
147,12.1
148,9.3
149,7.5
150,9.3
151,11.0
152,10.8
153,5.3
154,7.6
155,5.6
156,7.2
157,9.6
158,7.0
159,8.3
160,7.8
161,4.7
162,6.8
163,7.2
164,8.3
165,9.5
166,4.7
167,3.0
168,1.5
169,2.5
170,6.2
171,11.6
172,6.6
173,6.6
174,8.0
175,7.9
176,3.3
177,3.9
178,6.0
179,4.0
180,5.5
181,8.5
182,9.8
183,9.5
184,7.2
185,8.1
186,8.0
187,8.5
188,8.8
189,8.3
190,2.4
191,4.9
192,5.9
193,6.7
194,8.4
195,6.5
196,7.9
197,4.1
198,5.4
199,7.5
200,3.9
201,2.5
202,5.3
203,6.6
204,0.0
205,0.7
206,7.6
207,12.3
208,9.2
209,9.6
210,9.5
211,10.0
212,7.7
213,8.0
214,8.3
215,8.3
216,4.5
217,6.5
218,9.4
219,9.4
220,10.5
221,10.7
222,9.9
223,7.6
224,5.8
225,8.5
226,13.8
227,14.3
228,8.3
229,5.3
230,3.0
231,5.2
232,10.3
233,11.1
234,10.5
235,9.0
236,13.0
237,6.4
238,8.4
239,6.7
240,8.3
241,11.2
242,10.0
243,10.1
244,10.6
245,10.9
246,5.7
247,9.5
248,10.4
249,11.1
250,12.2
251,10.6
252,8.8
253,9.2
254,5.5
255,7.1
256,6.5
257,4.3
258,5.0
259,11.2
260,7.5
261,12.0
262,13.6
263,8.3
264,8.5
265,12.9
266,7.7
267,7.6
268,3.5
269,10.4
270,15.4
271,10.6
272,9.6
273,9.3
274,13.9
275,7.7
276,9.5
277,7.6
278,6.9
279,6.8
280,5.8
281,6.0
282,8.3
283,9.1
284,12.5
285,13.2
286,16.2
287,12.5
288,11.8
289,10.6
290,10.0
291,12.2
292,8.9
293,10.3
294,7.5
295,11.6
296,12.6
297,12.9
298,11.7
299,14.0
300,12.3
301,9.0
302,9.2
303,9.8
304,11.8
305,10.6
306,12.6
307,11.0
308,8.2
309,7.5
310,13.6
311,14.8
312,10.9
313,7.7
314,10.2
315,10.8
316,10.8
317,12.5
318,13.2
319,8.7
320,5.7
321,9.8
322,7.3
323,10.8
324,10.0
325,16.2
326,15.0
327,14.5
328,15.9
329,14.9
330,14.2
331,15.8
332,17.2
333,17.6
334,12.1
335,11.4
336,13.0
337,13.2
338,12.0
339,15.3
340,12.7
341,12.1
342,13.8
343,10.9
344,12.0
345,16.5
346,15.0
347,11.2
348,13.9
349,15.0
350,14.8
351,15.0
352,13.3
353,20.4
354,18.0
355,12.2
356,16.7
357,13.8
358,17.5
359,15.0
360,13.9
361,11.1
362,16.1
363,20.4
364,18.0
365,19.5
366,17.1
367,17.1
368,12.0
369,11.0
370,16.3
371,16.1
372,13.0
373,13.4
374,15.2
375,12.5
376,14.3
377,16.5
378,18.6
379,18.0
380,18.2
381,11.4
382,11.9
383,12.2
384,14.8
385,13.1
386,12.7
387,10.5
388,13.8
389,18.8
390,13.9
391,11.2
392,10.6
393,14.7
394,13.1
395,12.1
396,14.7
397,11.1
398,13.0
399,15.6
400,14.2
401,15.5
402,18.0
403,15.0
404,15.9
405,15.5
406,15.8
407,16.6
408,13.6
409,13.8
410,14.6
411,15.6
412,16.6
413,14.3
414,16.3
415,18.9
416,18.7
417,14.5
418,16.5
419,14.1
420,13.5
421,11.7
422,15.1
423,11.2
424,13.5
425,12.6
426,8.8
427,10.5
428,12.1
429,14.5
430,19.5
431,14.0
432,13.8
433,10.5
434,13.8
435,11.4
436,15.6
437,11.1
438,12.1
439,14.2
440,10.9
441,14.2
442,13.8
443,15.1
444,14.0
445,12.1
446,13.8
447,16.6
448,17.8
449,9.4
450,10.2
451,7.4
452,8.7
453,14.0
454,15.3
455,11.1
456,9.7
457,10.3
458,9.2
459,8.2
460,9.7
461,12.4
462,12.5
463,9.0
464,9.7
465,10.1
466,11.2
467,12.0
468,11.1
469,10.8
470,12.8
471,9.8
472,13.7
473,11.0
474,13.2
475,13.0
476,10.2
477,13.2
478,9.3
479,11.1
480,10.3
481,8.7
482,11.7
483,12.5
484,6.5
485,9.6
486,13.8
487,14.7
488,9.1
489,4.8
490,3.3
491,3.5
492,5.7
493,5.5
494,7.0
495,9.5
496,9.9
497,4.9
498,6.3
499,4.8
500,6.2
501,7.1
502,7.5
503,9.4
504,8.7
505,9.5
506,12.1
507,9.5
508,9.3
509,8.5
510,8.0
511,9.8
512,6.2
513,7.3
514,10.9
515,10.0
516,8.7
517,9.0
518,10.8
519,12.4
520,7.2
521,7.2
522,11.1
523,9.3
524,10.1
525,3.9
526,5.0
527,8.2
528,2.8
529,4.3
530,8.1
531,11.1
532,4.7
533,5.3
534,10.0
535,5.6
536,2.2
537,7.1
538,8.3
539,8.6
540,10.1
541,8.3
542,7.2
543,7.7
544,7.8
545,9.1
546,9.4
547,7.8
548,2.6
549,2.4
550,3.9
551,1.3
552,2.1
553,7.4
554,7.2
555,8.8
556,8.9
557,8.8
558,8.0
559,0.7
560,0.1
561,0.9
562,7.8
563,7.2
