,0
0,18.4
1,15.0
2,10.9
3,11.4
4,14.8
5,12.1
6,12.8
7,16.2
8,15.5
9,13.0
10,10.5
11,9.1
12,10.5
13,11.8
14,12.7
15,12.7
16,11.5
17,13.8
18,13.3
19,11.6
20,15.4
21,12.4
22,16.9
23,14.7
24,10.6
25,15.6
26,10.7
27,12.6
28,13.8
29,14.3
30,14.0
31,18.1
32,17.3
33,13.0
34,16.0
35,14.9
36,16.2
37,20.3
38,22.5
39,17.2
40,15.9
41,16.8
42,13.8
43,12.8
44,14.0
45,17.5
46,21.5
47,16.8
48,13.6
49,14.5
50,14.2
51,15.7
52,19.7
53,17.4
54,14.4
55,16.9
56,19.1
57,20.4
58,20.1
59,19.9
60,22.0
61,20.5
62,22.1
63,20.6
64,15.0
65,20.6
66,21.5
67,16.2
68,14.1
69,14.5
70,21.1
71,15.9
72,15.2
73,13.1
74,13.2
75,12.5
76,15.2
77,17.6
78,15.5
79,16.7
80,16.3
81,15.1
82,12.7
83,10.0
84,11.4
85,12.6
86,10.7
87,10.0
88,13.9
89,13.4
